,Category,Item_Description_PREPROCESSED
1721,Property Services,Store Management Base Rent Real Estate Lease Rent Cascade Corp
1722,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Alco Standard Corp Travel and Entertainment
1723,Passenger Road Transportation,Butler Manufacturing Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services
1724,Advertising,Magazines SMAP Crowley Milner Jul Media Buy Traditional National Advertising
1725,Passenger Road Transportation,Allis Chalmers Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1726,Advertising,Albertsons Inc Digital Display Digital Social Production SMAP
1727,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance First Wilkow Venture Other Corporate Services Auto Passenger Road Transportation Repair and Maintenance
1728,Logistics,Alabama Power Freight Forwarders Services Other Transportation Services Logistics Supply Chain
1729,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
1730,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
1731,Property Services,General Contractor General Requirements Final Site Clean Chris Craft Industries Inc Store Construction
1732,Property Services,Final Site Clean Facility Construction Alenick Jerome General Requirements General Contractor
1733,Labour,Contingent Labor Temp Labor Corporate Services Clary Corp Human Resources Contingent Labor Temp Labor
1734,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune Natural Resources Corp Miscellaneous Company Car Field Only Ground Transportation
1735,Property Services,General Contractor General Requirements Final Site Clean Athey Products Corp Facility Construction
1736,Property Services,General Contractor Store Construction General Requirements Final Site Clean Colonial Trust Iii
1737,Property Services,Arabian American Development Final Site Clean General Requirements General Contractor Store Construction
1738,Passenger Road Transportation,Akzo Nobel Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
1739,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Jan Corning Inc
1740,Property Services,Final Site Clean Store Construction Erly Industries Inc General Contractor General Requirements
1741,Labour,Bard Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
1742,Property Services,Real Estate Real Estate Services Real Estate General Search Appraisal Realtor Commission Tri Valley Corp Aug Store Management
1743,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
1744,Property Services,Store Fixtures Store Construction Washington Security Life Insurance Store Fixtures Fixtures
1745,Advertising,SMAP Media Buy Traditional Consolidated Tomoka Land National Advertising Newspaper Nov
1746,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Akorn Inc Miscellaneous Company Car Field Only Ground Transportation
1747,Property Services,General Contractor General Requirements Final Site Clean Ealing Corp Store Construction
1748,Property Services,Westford Group Inc Final Site Clean General Requirements General Contractor Store Construction
1749,Advertising,National Advertising SMAP Media Buy Traditional Catalogue Jun First Mortgage Corp
1750,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Alco Standard Corp Apr Miscellaneous Company Car Field Only Ground Transportation
1751,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Allis Chalmers Corp Travel and Entertainment
1752,Advertising,National Advertising Media Buy Traditional Magazines Ducommun Inc SMAP
1753,Passenger Road Transportation,Texas New Mexico Power Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1754,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Miscellaneous Company Car Field Only Ground Transportation
1755,Advertising,SMAP Media Buy Traditional Cgg Holding Inc National Advertising Outdoor Out Home
1756,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Exchange Corp Nov Miscellaneous Company Car Field Only Ground Transportation
1757,Property Services,General Contractor Facility Construction General Requirements Final Site Clean Crane
1758,Property Services,Store Fixtures Fixtures Oct Keycorp Old Store Construction Store Fixtures
1759,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car Field Only Ground Transportation
1760,Advertising,Boston Inc Post Card Mailer Direct Mail SMAP Printed Collateral
1761,Property Services,Final Site Clean Store Construction Westford Group Inc Jun General Requirements General Contractor
1762,Advertising,SMAP Prototype and Comp Production Packaging Design Production Artworking Typesetting Ducommun Inc
1763,Charity & Trusts,Charity Organizations Non Procurable Charity Organizations Charity Organizations Cts Corp
1764,Property Services,Nov Trading Development Corp Base Rent Lease Rent Store Management Real Estate
1765,Advertising,SMAP Prototype and Comp Production Packaging Design Production Artworking Typesetting Aquila Distributors Inc
1766,Property Services,Base Rent Store Management First Options Chicago Inc Real Estate Lease Rent
1767,Property Services,Lease Rent Real Estate National Corp Store Management Base Rent
1768,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp
1769,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Akzo Nobel Ground Transportation Miscellaneous Company Car Field Only May
1770,Property Services,General Contractor General Requirements Final Site Clean Colonial Trust Iii Store Construction
1771,Property Services,Base Rent Store Management First Manistique Corp Lease Rent Real Estate
1772,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Butler Manufacturing Ground Transportation Miscellaneous Company Car Field Only
1773,Property Services,Store Management Base Rent Real Estate Lease Rent Ace Hardware Corp
1774,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
1775,Advertising,SMAP Trade Show Expenses Consumers Water Events and Promotions Talent Artists Models for Trade Show
1776,Property Services,General Contractor Store Construction General Requirements Final Site Clean Nov Acme Electric Corp
1777,Passenger Road Transportation,Feb Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1778,Property Services,Real Estate Store Management Lease Rent Base Rent Flexsteel Industries Inc
1779,Advertising,Talent Artists Models for Trade Show SMAP Dewey Electronics Corp Events and Promotions Trade Show Expenses
1780,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp
1781,Property Services,Colonial Trust Iii Final Site Clean General Requirements Store Construction General Contractor
1782,Property Services,Store Management Lease Rent Friendly Ice Cream Corp Real Estate Base Rent
1783,Property Services,Store Construction Final Site Clean General Contractor General Requirements Bell Atlantic Pennsylvania Inc
1784,Property Services,First Mutual Planning Corp Base Rent Lease Rent Real Estate Store Management
1785,Advertising,Becton Dickinson Prototype and Comp Production Packaging Design Artworking Typesetting SMAP Production
1786,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Other Corporate Services Corporate Services
1787,Human Resources,Three Five Systems Inc Corporate Services Human Resources Benefits Retirement and Pension Funds
1788,Property Services,Real Estate Lease Rent Base Rent Capital Holding Corp Apr Store Management
1789,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Consolidated Edison New York Inc Travel and Entertainment
1790,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune Natural Resources Corp
1791,Agency Fee,Production SMAP Agency Fees Commissions Search Agency Properties Corp
1792,Property Services,Clinger Inc Final Site Clean General Requirements Store Construction General Contractor
1793,Labour,Contingent Labor Temp Labor Human Resources Apr Barr Brothers Inc Corporate Services Contingent Labor Temp Labor
1794,Property Services,Base Rent Store Management Del Laboratories Inc Real Estate Lease Rent
1795,Property Services,Real Estate General Search Appraisal Realtor Commission Aug Store Management Armstrong World Industries Inc Real Estate Real Estate Services
1796,Passenger Road Transportation,Comprehensive Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1797,Advertising,Newspaper SMAP Donley Options Inc Media Buy Traditional National Advertising
1798,Agency Fee,Production Agency Fees Commissions Other Agency Charlotte Motor Speedway Inc SMAP
1799,Labour,Ames Harry Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
1800,Property Services,Store Management Lease Rent Allegheny Energy Inc Real Estate Base Rent Jul
1801,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Texas New Mexico Power Ground Transportation Miscellaneous Company Car Field Only
1802,Passenger Road Transportation,Comp Check Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1803,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Brother Industries Ltd Adr
1804,Property Services,Flightsafety International Inc Final Site Clean General Requirements General Contractor Facility Construction
1805,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Daly John Travel and Entertainment
1806,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fox Pitt Kelton Inc Miscellaneous Company Car Field Only Ground Transportation
1807,Property Services,Store Management Base Rent Real Estate Lease Rent Fortune National Corp
1808,Passenger Road Transportation,Miscellaneous Company Car Field Only Jun Travel and Entertainment Metric Capital Corp Ground Transportation Miscellaneous Company Car Field Only
1809,Property Services,Capital Resources Real Estate Partnership Base Rent Lease Rent Store Management Real Estate
1810,Advertising,Post Card Mailer SMAP Charter Communications Inc Printed Collateral Direct Mail
1811,Property Services,General Contractor General Requirements Final Site Clean American Pad Paper Store Construction
1812,Property Services,Capitol Transamerica Corp Base Rent Lease Rent Real Estate Store Management
1813,Property Services,Store Management Lease Rent First Union Corp Real Estate Base Rent
1814,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Auto Leasing and Maintenance Other Corporate Services
1815,Passenger Road Transportation,Akorn Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
1816,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Cooper Laboratories Inc Stockholders Liquidating Trust Travel and Entertainment Miscellaneous Company Car Field Only
1817,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Sep Brother Industries Ltd Adr
1818,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Other Corporate Services Auto Leasing
1819,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services
1820,Property Services,Base Rent Store Management Daniel Industries Inc Real Estate Lease Rent
1821,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Brother Industries Ltd Adr Miscellaneous Company Car Field Only Ground Transportation
1822,Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services Daly John Corporate Services Auto Passenger Road Transportation Repair and Maintenance
1823,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Other Corporate Services Auto Leasing and Maintenance
1824,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
1825,Passenger Road Transportation,Auto Leasing Oct Corporate Services Butler Manufacturing Other Corporate Services Auto Leasing and Maintenance
1826,Advertising,Electro Catheter Corp Prototype and Comp Production Packaging Design Artworking Typesetting SMAP Production
1827,Property Services,Bowl America Inc Store Management Real Estate Lease Rent Base Rent
1828,Agency Fee,SMAP Other Agency Production Agency Fees Commissions Ceradyne Inc
1829,Labour,Fab Industries Inc Corporate Services Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor
1830,Labour,Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor Ashland Inc Corporate Services
1831,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Chyron Corp May Travel and Entertainment
1832,Property Services,Final Site Clean Store Construction Fox Reusch Inc General Contractor General Requirements
1833,Advertising,SMAP Artworking Typesetting Champion Parts Inc Production Prototype and Comp Production Packaging Design
1834,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Alco Standard Corp Ground Transportation Miscellaneous Company Car Field Only
1835,Property Services,General Requirements General Contractor Dravo Corp Store Construction Final Site Clean
1836,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Daly John Ground Transportation Miscellaneous Company Car Field Only
1837,Property Services,Base Rent Feb Store Management American Bancorporation Real Estate Lease Rent
1838,Advertising,SMAP Magazines National Advertising Media Buy Traditional Giorgio Corp
1839,Passenger Road Transportation,Auto Leasing Mar Corporate Services Corning Inc Other Corporate Services Auto Leasing and Maintenance
1840,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1841,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr
1842,Property Services,General Contractor Store Construction General Requirements Final Site Clean Arabian American Development
1843,Advertising,Agf Investment Corp Outdoor Out Home Media Buy Traditional National Advertising SMAP
1844,Property Services,Base Rent Store Management Cotton States Life Insurance Lease Rent Real Estate
1845,Property Services,Base Rent Store Management First Washington Corporation Real Estate Lease Rent
1846,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car Field Only
1847,Property Services,Store Construction General Requirements Bromar Inc General Contractor Final Site Clean
1848,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc May Auto Leasing and Maintenance Other Corporate Services
1849,Passenger Road Transportation,Akzo Nobel Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
1850,Property Services,Store Management Base Rent Real Estate Lease Rent Rexam Plc Adr
1851,Passenger Road Transportation,Daly John Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
1852,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car Field Only
1853,Property Services,General Contractor Store Construction General Requirements Final Site Clean Engex Inc
1854,Labour,Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor Barrie Milton Inc Corporate Services
1855,Human Resources,Human Resources Benefits Life and Health and Accident Insurance Detrex Corporation Corporate Services
1856,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing
1857,Property Services,Real Estate Store Management Lease Rent Base Rent Smith Brown Groover Inc
1858,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Butler Manufacturing
1859,Property Services,Store Management Base Rent Real Estate Lease Rent Florida Rock Industries Inc
1860,Agency Fee,Production SMAP Agency Fees Commissions Other Agency Becker Walt Associates Inc
1861,Property Services,Final Site Clean Store Construction Colonial Trust Iii General Contractor General Requirements
1862,Passenger Road Transportation,Corning Inc Auto Leasing Aug Auto Leasing and Maintenance Other Corporate Services Corporate Services
1863,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fort Howard Corp Travel and Entertainment
1864,Property Services,Final Site Clean Store Construction Arabian American Development Mar General Requirements General Contractor
1865,Agency Fee,Boeing Other Agency Agency Fees Commissions Production SMAP
1866,Property Services,Base Rent Store Management Bancwest Corp Lease Rent Real Estate
1867,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
1868,Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services Daly John Corporate Services Auto Passenger Road Transportation Repair and Maintenance
1869,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc Other Corporate Services Auto Leasing
1870,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Camelot Corp Miscellaneous Company Car Field Only Ground Transportation
1871,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing
1872,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Other Corporate Services Auto Leasing May
1873,Property Services,Amcast Industrial Corp Base Rent Lease Rent Store Management Real Estate
1874,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akorn Inc Travel and Entertainment
1875,Property Services,Real Estate Lease Rent Base Rent Bancshares Inc Facility Management
1876,Property Services,Facility Management Base Rent Real Estate Lease Rent Alabama Telephone Inc
1877,Property Services,Base Rent Store Management Cazenove Inc Real Estate Lease Rent
1878,Agency Fee,Agency Fees Commissions Production Astrex Inc SMAP Other Agency
1879,Advertising,SMAP Artworking Typesetting Champion Parts Inc Production Prototype and Comp Production Packaging Design
1880,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Allis Chalmers Corp Jun Travel and Entertainment
1881,Property Services,Franklin Resources Inc Base Rent Lease Rent Real Estate Store Management
1882,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Akorn Inc Ground Transportation Miscellaneous Company Car Field Only
1883,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Texas New Mexico Power
1884,Advertising,Digital Display SMAP Reunion Resources Digital Social Production
1885,Labour,Exotico Inc Contingent Labor Temp Labor Nov Contingent Labor Temp Labor Human Resources Corporate Services
1886,Property Services,Final Site Clean Store Construction Sunbeam Corp Mar General Requirements General Contractor
1887,Advertising,Jul Univest Investments Inc Talent Artists Models for Trade Show Trade Show Expenses SMAP Events and Promotions
1888,Property Services,Store Management Lease Rent Abbott Laboratories Real Estate Base Rent
1889,Property Services,Asia Supernet Corp Final Site Clean General Requirements Store Construction General Contractor
1890,Property Services,Final Site Clean Jun Store Construction Brush Wellman Inc General Contractor General Requirements
1891,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Brother Industries Ltd Adr Feb Miscellaneous Company Car Field Only Ground Transportation
1892,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp Travel and Entertainment
1893,Property Services,Base Rent Store Management Detwiler Fenton Real Estate Lease Rent
1894,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
1895,Labour,Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor Ashland Inc May Corporate Services
1896,Agency Fee,Events and Promotions Agency Fees Commissions Public Relations Agency Community Psychiatric Centers SMAP
1897,Property Services,Capital Southwest Corp Final Site Clean General Requirements Store Construction General Contractor
1898,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
1899,Property Services,Store Construction General Requirements Chubb Corp General Contractor Final Site Clean
1900,Property Services,Store Construction Final Site Clean General Contractor General Requirements Erly Industries Inc
1901,Property Services,General Contractor General Requirements Final Site Clean Ealing Corp Feb Store Construction
1902,Property Services,Brown Tom Inc Store Management Real Estate Lease Rent Base Rent
1903,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Amsouth Bancorporation
1904,Property Services,Final Site Clean Store Construction Advanced Micro Devices Inc General Requirements General Contractor
1905,Labour,Corporate Services Contingent Labor Temp Labor Human Resources Contingent Labor Temp Labor Sep Circuit Science Corp
1906,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Alza Corp Ground Transportation Miscellaneous Company Car Field Only
1907,Advertising,Post Card Mailer SMAP Federal Paper Board Inc Mar Direct Mail Printed Collateral
1908,Advertising,Electro Catheter Corp Prototype and Comp Production Packaging Design Artworking Typesetting Production SMAP
1909,Passenger Road Transportation,Butler National Corp Feb Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
1910,Property Services,Colonial Trust Iii Final Site Clean May General Requirements General Contractor Store Construction
1911,Property Services,Base Rent Store Management Fair Grounds Corp Real Estate Lease Rent
1912,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only
1913,Logistics,Parcel Postage Courier Supply Chain Durr Fillauer Medical Inc Logistics Transportation Services
1914,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Akzo Nobel Miscellaneous Company Car Field Only Ground Transportation
1915,Passenger Road Transportation,Cooper Laboratories Inc Stockholders Liquidating Trust Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
1916,Advertising,SMAP Media Buy Traditional Cgg Holding Inc National Advertising Outdoor Out Home
1917,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp
1918,Logistics,Etz Lavud Ltd Parcel Postage Courier Transportation Services Supply Chain Logistics
1919,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Brother Industries Ltd Adr Miscellaneous Company Car Field Only Ground Transportation
1920,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Akzo Nobel Travel and Entertainment Miscellaneous Company Car Field Only
1921,Advertising,Double Eagle Petroleum Mining Prototype and Comp Production Packaging Design Artworking Typesetting Production SMAP
1922,Charity & Trusts,Charity Organizations Non Procurable Detroit Edison Charity Organizations Charity Organizations
1923,Property Services,General Contractor Store Construction General Requirements Final Site Clean Capital Southwest Corp
1924,Advertising,Outdoor Out Home SMAP Giorgio Corp May Media Buy Traditional National Advertising
1925,Advertising,Digital Equipment Corp SMAP National Advertising Media Buy Traditional Magazines
1926,Property Services,Real Estate Lease Rent Base Rent Coughlin Company Inc Store Management
1927,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc
1928,Property Services,Final Site Clean Store Construction Basil Investment Corp General Contractor General Requirements
1929,Property Services,Store Management Lease Rent Daiwa Capital Markets America Inc Real Estate Base Rent
1930,Advertising,SMAP Digital Display Production Digital Social Reunion Resources
1931,Passenger Road Transportation,Airtex Products Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1932,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Brother Industries Ltd Adr Miscellaneous Company Car Field Only Ground Transportation
1933,Logistics,Supply Chain Freight Forwarders Services Other Logistics Transportation Services Alabama Power
1934,Property Services,Real Estate Store Management Lease Rent Base Rent Elizabethtown Gas
1935,Passenger Road Transportation,Fort Howard Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1936,Property Services,General Contractor Store Construction General Requirements Final Site Clean Mar Engex Inc
1937,Property Services,Base Rent Store Management Acmat Corp Lease Rent Real Estate
1938,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc
1939,Passenger Road Transportation,Butler Manufacturing Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing
1940,Human Resources,Corporate Services Workmen Insurance Angelica Corp New Commercial Insurance Workmen Insurance Jan
1941,Property Services,General Contractor Store Construction General Requirements Final Site Clean Fairmount Chemical Inc
1942,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Feb Barnes Group Inc
1943,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only May Brother Industries Ltd Adr
1944,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1945,Property Services,Final Site Clean Store Construction Alexanders Inc General Contractor General Requirements
1946,Advertising,SMAP Digital Display Production Digital Social Dec Barry Corp
1947,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Miscellaneous Company Car Field Only Ground Transportation
1948,Logistics,Supply Chain Parcel Postage Courier Logistics Transportation Services Fiduciary Services Corp Adv
1949,Passenger Road Transportation,Allis Chalmers Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
1950,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Angeloff Other Corporate Services Auto Passenger Road Transportation Repair and Maintenance
1951,Property Services,Allen Ethan Inc Store Management Real Estate Lease Rent Base Rent
1952,Property Services,Facility Construction Final Site Clean General Contractor General Requirements May Baker Incorporated
1953,Labour,Contingent Labor Temp Labor Human Resources Mar Foodarama Supermarkets Inc Corporate Services Contingent Labor Temp Labor
1954,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Composite Equity Series Inc Travel and Entertainment Miscellaneous Company Car Field Only
1955,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc Other Corporate Services Auto Leasing
1956,Advertising,Cfi Industries Inc Prototype and Comp Production Packaging Design Artworking Typesetting SMAP Production
1957,Property Services,Real Estate Lease Rent Base Rent Data Card Corp Store Management
1958,Passenger Road Transportation,Corning Inc Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing
1959,Advertising,Printed Collateral SMAP Direct Mail Post Card Mailer Jan Federal Paper Board Inc
1960,Property Services,Store Management Base Rent Real Estate Lease Rent Allied Capital Corp Old
1961,Property Services,Final Site Clean Facility Construction Flightsafety International Inc General Requirements General Contractor
1962,Property Services,General Contractor Store Construction General Requirements Final Site Clean Colonial Trust Iii
1963,Passenger Road Transportation,Miscellaneous Company Car Field Only Jun Travel and Entertainment Camelot Corp Ground Transportation Miscellaneous Company Car Field Only
1964,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akorn Inc
1965,Advertising,National Advertising Media Buy Traditional Magazines Blackburn Inc SMAP
1966,Property Services,Final Site Clean Store Construction Erly Industries Inc General Requirements General Contractor
1967,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Metric Capital Corp Miscellaneous Company Car Field Only Ground Transportation
1968,Advertising,Electro Catheter Corp Prototype and Comp Production Packaging Design Artworking Typesetting Production SMAP
1969,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Barnes Group Inc Travel and Entertainment Miscellaneous Company Car Field Only
1970,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Daly John Miscellaneous Company Car Field Only Ground Transportation
1971,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Cooper Laboratories Inc Stockholders Liquidating Trust
1972,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Other Corporate Services Auto Leasing and Maintenance
1973,Property Services,Final Site Clean Store Construction Dollar General Corp General Contractor General Requirements
1974,Property Services,Real Estate Lease Rent Base Rent Farrel Corp Store Management
1975,Labour,Contingent Labor Temp Labor Corporate Services Babson Capital Management Llc Contingent Labor Temp Labor Human Resources
1976,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fort Howard Corp Apr Travel and Entertainment
1977,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Alco Standard Corp Travel and Entertainment
1978,Property Services,Store Management Base Rent Real Estate Lease Rent Coastal Corp
1979,Agency Fee,Charlotte Motor Speedway Inc Other Agency Agency Fees Commissions SMAP Production
1980,Passenger Road Transportation,Fort Howard Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
1981,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services
1982,Property Services,Colonial Trust Iii Final Site Clean General Requirements Store Construction General Contractor
