,Category,Item_Description,Item_Description_PREPROCESSED
566,Property Services,Flightsafety International Inc 2014Sep Facility Construction General Contractor General Requirements Final Site Clean Up,flightsafety international inc facility construction general contractor general requirements final site clean
567,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only) 2018-Jan ,travel and entertainment miscellaneous company car field only cooper laboratories inc stockholders liquidating trust ground transportation miscellaneous company car field only
568,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Akorn Inc 2010May Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only akorn inc travel and entertainment
569,Passenger Road Transportation,Miscellaneous Company Car (Field Only) 2011Aug Travel and Entertainment Fort Howard Corp Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment fort howard corp ground transportation miscellaneous company car field only
570,Labour,Baird Patrick & Co Inc 2011Jan Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,baird patrick inc corporate services human resources contingent labor temp labor contingent labor temp labor
571,Labour,Corporate Services Contingent Labor/Temp Labor Alco Stores Inc Human Resources Contingent Labor/Temp Labor 2005-Jan ,corporate services contingent labor temp labor alco stores inc human resources contingent labor temp labor
572,Property Services,Aug2014 Erly Industries Inc Final Site Clean Up General Requirements Store Construction General Contractor,erly industries inc final site clean general requirements store construction general contractor
573,Property Services,Base Rent 2016-Dec  Store Management American Heritage Life Investment Corp Real Estate Lease/Rent,base rent store management american heritage life investment corp real estate lease rent
574,Property Services,Store Management Base Rent Real Estate Lease/Rent 2005Dec Bancwest Corp/Hi,store management base rent real estate lease rent bancwest corp
575,Labour,Corporate Services Contingent Labor/Temp Labor Computer Task Group Inc Human Resources Contingent Labor/Temp Labor Sep 2007,corporate services contingent labor temp labor computer task group inc human resources contingent labor temp labor sep
576,Property Services,Store Management Base Rent Real Estate Lease/Rent May2002 Falconbridge Ltd,store management base rent real estate lease rent falconbridge ltd
577,Property Services,Furon Co Base Rent Sep2006 Lease/Rent Real Estate Store Management,furon base rent lease rent real estate store management
578,Property Services,Store Management Lease/Rent Bancwest Corp/Hi Real Estate Base Rent Nov-2003,store management lease rent bancwest corp real estate base rent
579,Property Services,Store Management Lease/Rent Arlen Corp Real Estate Base Rent 2004-Mar ,store management lease rent arlen corp real estate base rent
580,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2008-Oct  Chyron Corp,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only chyron corp
581,Property Services,Real Estate Store Management Lease/Rent Base Rent Apr-2003 Acterna Corp,real estate store management lease rent base rent acterna corp
582,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jul2002 Akorn Inc,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only akorn inc
583,Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Mar-2018 Colonial Trust Iii,general contractor store construction general requirements final site clean colonial trust iii
584,Advertising,SMAP Miscellaneous Printed Materials Printed Collateral Miscellaneous Printed Materials 2000Aug Brundage Story & Rose Llc,smap miscellaneous printed materials printed collateral miscellaneous printed materials brundage story rose llc
585,Passenger Road Transportation,Daly John J Feb-2007 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),daly john travel and entertainment ground transportation miscellaneous company car field only miscellaneous company car field only
586,Advertising,SMAP Prototype and Comp Production/Packaging Design Production Artworking/Typesetting Sep-2002 Aquila Distributors Inc                                 /Bd,smap prototype and comp production packaging design production artworking typesetting aquila distributors inc
587,Human Resources,Commercial Insurance Workmen's Insurance Workmen's Insurance Family Dollar Stores Inc Jul 2009 Corporate Services,commercial insurance workmen insurance workmen insurance family dollar stores inc jul corporate services
588,Advertising,Media Buy - Traditional National Advertising Jan-2002 De Rose Industries Inc SMAP Television,media buy traditional national advertising rose industries inc smap television
589,Labour,Contingent Labor/Temp Labor Human Resources 2018Apr Basf Akteingesellschaft /Adr/ Corporate Services Contingent Labor/Temp Labor,contingent labor temp labor human resources basf akteingesellschaft adr corporate services contingent labor temp labor
590,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Sep-2006 Fort Howard Corp,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only fort howard corp
591,Property Services,Store Management Lease/Rent Charter Medical Corp Real Estate Base Rent 2013-Nov ,store management lease rent charter medical corp real estate base rent
592,Property Services,General Contractor General Requirements Final Site Clean Up American Pad & Paper Co Feb-2005 Store Construction,general contractor general requirements final site clean american pad paper store construction
593,Property Services,Feb2011 Acmat Corp Base Rent Lease/Rent Store Management Real Estate,acmat corp base rent lease rent store management real estate
594,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) 2011-Oct ,travel and entertainment miscellaneous company car field only brother industries ltd adr ground transportation miscellaneous company car field only
595,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Sep-2002 Corporate Services Daly John J Other Corporate Services Auto Leasing and Maintenance,auto passenger road transportation repair and maintenance corporate services daly john other corporate services auto leasing and maintenance
596,Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Chenaur Corp 2011-Dec  Corporate Services,human resources contingent labor temp labor contingent labor temp labor chenaur corp corporate services
597,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing Co Oct2002 Corporate Services,other corporate services auto leasing and maintenance auto leasing butler manufacturing corporate services
598,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2006Sep Daly John J,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only daly john
599,Labour,Alpha Industries Inc 2018Aug Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,alpha industries inc corporate services human resources contingent labor temp labor contingent labor temp labor
600,Property Services,Real Estate Store Management Lease/Rent Base Rent Apr-2005 Ark Bakers Inc,real estate store management lease rent base rent ark bakers inc
601,Property Services,Mar 2015 Colonial Trust Iii Final Site Clean Up General Requirements Store Construction General Contractor,mar colonial trust iii final site clean general requirements store construction general contractor
602,Advertising,SMAP Prototype and Comp Production/Packaging Design Production Artworking/Typesetting 2019-Apr  Champion Parts Inc,smap prototype and comp production packaging design production artworking typesetting champion parts inc
603,Property Services,Real Estate Lease/Rent Base Rent Farrel Corp Sep 2017 Store Management,real estate lease rent base rent farrel corp sep store management
604,Property Services,Lease/Rent Real Estate Dec2002 American Fidelity Corp Store Management Base Rent,lease rent real estate american fidelity corp store management base rent
605,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Dec-2008 Travel and Entertainment Akorn Inc Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment akorn inc ground transportation miscellaneous company car field only
606,Property Services,Real Estate Store Management Lease/Rent Base Rent May 2013 Berkley W R Corp,real estate store management lease rent base rent may berkley corp
607,Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Apr2014 Detrex Corporation,corporate services contingent labor temp labor human resources contingent labor temp labor detrex corporation
608,Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Forward Industries Inc 2001Mar Corporate Services,human resources contingent labor temp labor contingent labor temp labor forward industries inc corporate services
609,Passenger Road Transportation,Fortune Natural Resources Corp Miscellaneous Company Car (Field Only) 2008-Oct  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,fortune natural resources corp miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
610,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny 2000-Oct  Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
611,Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2003-Sep  Ferguson Enterprises Inc,general contractor store construction general requirements final site clean ferguson enterprises inc
612,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Fortune National Corp Ground Transportation Miscellaneous Company Car (Field Only) 2013-Jul ,travel and entertainment miscellaneous company car field only fortune national corp ground transportation miscellaneous company car field only
613,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Akorn Inc Ground Transportation Miscellaneous Company Car (Field Only) Aug2013,travel and entertainment miscellaneous company car field only akorn inc ground transportation miscellaneous company car field only
614,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2002Jan Cooper Laboratories Inc Stockholders Liquidating Trust,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only cooper laboratories inc stockholders liquidating trust
615,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Ground Transportation 2014-Feb  Cooper Laboratories Inc Stockholders Liquidating Trust Travel and Entertainment Miscellaneous Company Car (Field Only),miscellaneous company car field only ground transportation cooper laboratories inc stockholders liquidating trust travel and entertainment miscellaneous company car field only
616,Passenger Road Transportation,Auto Leasing Mar 2000 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing mar corporate services corning inc other corporate services auto leasing and maintenance
617,Advertising,Prototype and Comp Production/Packaging Design SMAP Electro Catheter Corp Dec2013 Artworking/Typesetting Production,prototype and comp production packaging design smap electro catheter corp artworking typesetting production
618,Agency Fee,2013-Aug  Chock Full O Nuts Corp Other Agency Agency Fees & Commissions 3 SMAP Production,chock full nuts corp other agency agency fees commissions smap production
619,Property Services,Store Management Lease/Rent American Consumers Inc Real Estate Base Rent Oct2006,store management lease rent american consumers inc real estate base rent
620,Property Services,Bancwest Corp/Hi Base Rent 2019-Jan  Lease/Rent Real Estate Store Management,bancwest corp base rent lease rent real estate store management
621,Property Services,Store Management Lease/Rent Ddl Electronics Inc Real Estate Base Rent Jun2014,store management lease rent ddl electronics inc real estate base rent
622,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny Jul-2000 Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
623,Labour,2019-Dec  American Business Products Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,american business products inc contingent labor temp labor contingent labor temp labor corporate services human resources
624,Property Services,Dec-2013 Cascade Corp Base Rent Lease/Rent Store Management Real Estate,cascade corp base rent lease rent store management real estate
625,Property Services,Base Rent Store Management Aig Equity Sales Corp. Feb-2003 Lease/Rent Real Estate,base rent store management aig equity sales corp lease rent real estate
626,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Devcon International Corp Jun2019 Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only devcon international corp travel and entertainment
627,Property Services,Ealing Corp 2008-Jan  Store Construction General Contractor General Requirements Final Site Clean Up,ealing corp store construction general contractor general requirements final site clean
628,Property Services,Base Rent Apr-2005 Store Management Echelon Corp Real Estate Lease/Rent,base rent store management echelon corp real estate lease rent
629,Agency Fee,Other Agency Sep-2018 SMAP Digital Equipment Corp Production Agency Fees & Commissions 3,other agency smap digital equipment corp production agency fees commissions
630,Property Services,Store Management Lease/Rent Allied Tube & Conduit Corp Real Estate Base Rent 2007Aug,store management lease rent allied tube conduit corp real estate base rent
631,Property Services,Real Estate Lease/Rent Base Rent Cazenove Inc                                            /Bd Sep2013 Store Management,real estate lease rent base rent cazenove inc store management
632,Labour,Basf Akteingesellschaft /Adr/ Contingent Labor/Temp Labor Jun2001 Contingent Labor/Temp Labor Human Resources Corporate Services,basf akteingesellschaft adr contingent labor temp labor contingent labor temp labor human resources corporate services
633,Advertising,Miscellaneous Printed Materials SMAP Texas American Resources Inc Jan 2015 Miscellaneous Printed Materials Printed Collateral,miscellaneous printed materials smap texas american resources inc jan miscellaneous printed materials printed collateral
634,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fort Howard Corp May-2006 Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only fort howard corp travel and entertainment
635,Advertising,"SMAP Talent, Artists & Models for Trade Show Events and Promotions Trade Show Expenses 2004Oct Consumers Water Co",smap talent artists models for trade show events and promotions trade show expenses consumers water
636,Property Services,General Requirements General Contractor Mar 2005 Colonial Trust Iii Store Construction Final Site Clean Up,general requirements general contractor mar colonial trust iii store construction final site clean
637,Property Services,Ealing Corp Final Site Clean Up Sep 2009 General Requirements General Contractor Store Construction,ealing corp final site clean sep general requirements general contractor store construction
638,Property Services,Ealing Corp Final Site Clean Up 2007Aug General Requirements General Contractor Store Construction,ealing corp final site clean general requirements general contractor store construction
639,Passenger Road Transportation,Texas New Mexico Power Co Miscellaneous Company Car (Field Only) Dec-2010 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,texas new mexico power miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
640,Passenger Road Transportation,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Oct-2015 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,brother industries ltd adr miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
641,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Texas New Mexico Power Co Feb 2017 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment texas new mexico power feb miscellaneous company car field only ground transportation
642,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny Aug-2011 Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
643,Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Jul 2013 Arabian American Development Co,general contractor store construction general requirements final site clean jul arabian american development
644,Property Services,National Advertising Media Buy - Traditional Outdoor/Out of Home First Real Estate Investment Trust Of New Jersey Oct 2013 SMAP,national advertising media buy traditional outdoor out home first real estate investment trust new jersey oct smap
645,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Co Other Corporate Services Auto Leasing Nov 2019,corporate services auto leasing and maintenance butler manufacturing other corporate services auto leasing nov
646,Labour,Contingent Labor/Temp Labor Feb2018 Corporate Services Aerosonic Corp /Fl/ Human Resources Contingent Labor/Temp Labor,contingent labor temp labor corporate services aerosonic corp human resources contingent labor temp labor
647,Advertising,Prototype and Comp Production/Packaging Design SMAP Froley Revy Investment Co Inc 2000-Nov  Artworking/Typesetting Production,prototype and comp production packaging design smap froley revy investment inc artworking typesetting production
648,Agency Fee,Other Agency SMAP Fnb Corp/Fl/ 2015Mar Agency Fees & Commissions 3 Production,other agency smap fnb corp agency fees commissions production
649,Advertising,"Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show L Flomenhaft & Co Inc                                   /Bd 2000Jul SMAP",events and promotions trade show expenses talent artists models for trade show flomenhaft inc smap
650,Passenger Road Transportation,2005Feb Akzo Nobel Nv Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,akzo nobel miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
651,Property Services,General Contractor General Requirements Final Site Clean Up Church Loans & Investments Trust Oct2018 Facility Construction,general contractor general requirements final site clean church loans investments trust facility construction
652,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Apr-2009 Daly John J,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only daly john
653,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Ground Transportation Apr2000 Butler Manufacturing Co Travel and Entertainment Miscellaneous Company Car (Field Only),miscellaneous company car field only ground transportation butler manufacturing travel and entertainment miscellaneous company car field only
654,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust 2005-May  Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment cooper laboratories inc stockholders liquidating trust miscellaneous company car field only ground transportation
655,Property Services,Store Management Lease/Rent Flowers Industries Inc Real Estate Base Rent Jun-2013,store management lease rent flowers industries inc real estate base rent
656,Passenger Road Transportation,Miscellaneous Company Car (Field Only) 2018-Sep  Travel and Entertainment Alco Standard Corp Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment alco standard corp ground transportation miscellaneous company car field only
657,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Jun2003 Butler Manufacturing Co,corporate services auto leasing other corporate services auto leasing and maintenance butler manufacturing
658,Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Comstock Resources Inc Jun-2003 Corporate Services,human resources contingent labor temp labor contingent labor temp labor comstock resources inc corporate services
659,Property Services,Citicorp Dec 2010 Store Management Real Estate Lease/Rent Base Rent,citicorp dec store management real estate lease rent base rent
660,Property Services,Ambassador Food Services Corp Base Rent May2004 Lease/Rent Real Estate Store Management,ambassador food services corp base rent lease rent real estate store management
661,Property Services,Base Rent Store Management Anaren  Inc 2013-Sep  Lease/Rent Real Estate,base rent store management anaren inc lease rent real estate
662,Passenger Road Transportation,Public Relations Agency Apr2001 SMAP Auto Graphics Inc Events and Promotions Agency Fees & Commissions,public relations agency smap auto graphics inc events and promotions agency fees commissions
663,Passenger Road Transportation,Auto Leasing 2017-Nov  Corporate Services Butler Manufacturing Co Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services butler manufacturing other corporate services auto leasing and maintenance
664,Advertising,Outdoor/Out of Home Aug 2008 SMAP Chem Nut Inc National Advertising Media Buy - Traditional,outdoor out home aug smap chem nut inc national advertising media buy traditional
665,Property Services,"First Options Of Chicago, Inc. Base Rent Jul-2006 Lease/Rent Real Estate Store Management",first options chicago inc base rent lease rent real estate store management
666,Passenger Road Transportation,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Sep 2005 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,brother industries ltd adr miscellaneous company car field only sep miscellaneous company car field only ground transportation travel and entertainment
667,Passenger Road Transportation,Alco Standard Corp Miscellaneous Company Car (Field Only) Dec2000 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,alco standard corp miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
668,Property Services,Facility Construction Final Site Clean Up General Contractor General Requirements Jul 2010 Allcity Insurance Co /Ny/,facility construction final site clean general contractor general requirements jul allcity insurance
669,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2016-Nov  Fortune National Corp,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only fortune national corp
670,Property Services,Apr 2019 Thomson Richard William                                 /Bd Store Fixtures Store Fixtures Store Construction Fixtures,apr thomson richard william store fixtures store fixtures store construction fixtures
671,Property Services,Jul 2010 Bromar Inc Final Site Clean Up General Requirements Store Construction General Contractor,jul bromar inc final site clean general requirements store construction general contractor
672,Property Services,2013-Dec  Hancock John Investment Trust /Ma/ Final Site Clean Up General Requirements Facility Construction General Contractor,hancock john investment trust final site clean general requirements facility construction general contractor
673,Advertising,Di Giorgio Corp Magazines Nov 2017 Media Buy - Traditional National Advertising SMAP,giorgio corp magazines nov media buy traditional national advertising smap
674,Property Services,2005Nov Erly Industries Inc Final Site Clean Up General Requirements Store Construction General Contractor,erly industries inc final site clean general requirements store construction general contractor
675,Labour,Cobe Laboratories Inc Contingent Labor/Temp Labor 2018Nov Contingent Labor/Temp Labor Human Resources Corporate Services,cobe laboratories inc contingent labor temp labor contingent labor temp labor human resources corporate services
676,Advertising,"Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Cv Brokerage, Inc 2007May SMAP",production artworking typesetting prototype and comp production packaging design brokerage inc smap
677,Property Services,Base Rent 2011-Mar  Store Management Orion Pictures Corp Real Estate Lease/Rent,base rent store management orion pictures corp real estate lease rent
678,Labour,Human Resources Corporate Services Contingent Labor/Temp Labor Contingent Labor/Temp Labor 2008-Nov  Computer Data Systems Inc,human resources corporate services contingent labor temp labor contingent labor temp labor computer data systems inc
679,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2018-Jul  Allis Chalmers Corp,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only allis chalmers corp
680,Passenger Road Transportation,Miscellaneous Company Car (Field Only) 2017-Jul  Travel and Entertainment Akzo Nobel Nv Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment akzo nobel ground transportation miscellaneous company car field only
681,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Akzo Nobel Nv Ground Transportation Miscellaneous Company Car (Field Only) 2017Aug,travel and entertainment miscellaneous company car field only akzo nobel ground transportation miscellaneous company car field only
682,Property Services,2000-Jun  Bancwest Corp/Hi Base Rent Lease/Rent Store Management Real Estate,bancwest corp base rent lease rent store management real estate
683,Passenger Road Transportation,Corning Inc /Ny Auto Leasing 2009Dec Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
684,Property Services,General Contractor General Requirements Final Site Clean Up Flightsafety International Inc 2007-Aug  Facility Construction,general contractor general requirements final site clean flightsafety international inc facility construction
685,Property Services,Store Fixtures Fixtures 2004Dec Smith Brown & Groover Inc Store Construction Store Fixtures,store fixtures fixtures smith brown groover inc store construction store fixtures
686,Property Services,Final Site Clean Up Store Construction Bromar Inc Jun-2000 General Requirements General Contractor,final site clean store construction bromar inc general requirements general contractor
687,Property Services,"Tri Valley Corp Real Estate General (Search, Appraisal, Realtor Commission) 2018May Real Estate Services Real Estate Store Management",tri valley corp real estate general search appraisal realtor commission real estate services real estate store management
688,Property Services,General Contractor General Requirements Final Site Clean Up Chubb Corp 2001-Jul  Store Construction,general contractor general requirements final site clean chubb corp store construction
689,Property Services,Aug 2015 Colonial Trust Iii Final Site Clean Up General Requirements Store Construction General Contractor,aug colonial trust iii final site clean general requirements store construction general contractor
690,Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2015-Aug  Arabian American Development Co,general contractor store construction general requirements final site clean arabian american development
691,Passenger Road Transportation,Corning Inc /Ny Auto Leasing 2019May Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
692,Labour,Engel John William                                      /Bd May2017 Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,engel john william corporate services human resources contingent labor temp labor contingent labor temp labor
693,Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance 2008Jul Daly John J,corporate services auto passenger road transportation repair and maintenance other corporate services auto leasing and maintenance daly john
694,Property Services,Base Rent Nov2015 Store Management Commonwealth Edison Co Real Estate Lease/Rent,base rent store management commonwealth edison real estate lease rent
695,Advertising,2011Aug Comcast Corp Newspaper Media Buy - Traditional SMAP National Advertising,comcast corp newspaper media buy traditional smap national advertising
696,Property Services,Dillard Department Stores Inc Mar-2018 Store Management Real Estate Lease/Rent Base Rent,dillard department stores inc store management real estate lease rent base rent
697,Passenger Road Transportation,Oct-2009 Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,brother industries ltd adr miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
698,Advertising,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Legg Mason Wood Walker Inc                              /Bd 2007-Oct  SMAP,production artworking typesetting prototype and comp production packaging design legg mason wood walker inc smap
699,Passenger Road Transportation,Auto Leasing Dec-2003 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services corning inc other corporate services auto leasing and maintenance
700,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2013-May  Akzo Nobel Nv,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only akzo nobel
701,Property Services,Apr2015 Brock Exploration Corp Final Site Clean Up General Requirements Store Construction General Contractor,brock exploration corp final site clean general requirements store construction general contractor
702,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Allison M E & Co Inc/Tx                                 /Bd Jan2008 Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only allison inc travel and entertainment
703,Property Services,Final Site Clean Up Store Construction Colonial Trust Iii Jul2014 General Requirements General Contractor,final site clean store construction colonial trust iii general requirements general contractor
704,Advertising,Printed Collateral SMAP Miscellaneous Printed Materials Miscellaneous Printed Materials May2000 Becton Dickinson & Co,printed collateral smap miscellaneous printed materials miscellaneous printed materials becton dickinson
705,Labour,Contingent Labor/Temp Labor Dec2002 Corporate Services Foodarama Supermarkets Inc Human Resources Contingent Labor/Temp Labor,contingent labor temp labor corporate services foodarama supermarkets inc human resources contingent labor temp labor
706,Passenger Road Transportation,Daly John J Auto Passenger Road Transportation Repair and Maintenance Nov 2019 Auto Leasing and Maintenance Other Corporate Services Corporate Services,daly john auto passenger road transportation repair and maintenance nov auto leasing and maintenance other corporate services corporate services
707,Property Services,Store Management Base Rent Real Estate Lease/Rent Jun2007 Ami Industries Inc,store management base rent real estate lease rent ami industries inc
708,Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Sep2011 Dst Systems Inc                                         /Ta,corporate services contingent labor temp labor human resources contingent labor temp labor dst systems inc
709,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2012Aug Corning Inc /Ny,other corporate services corporate services auto leasing and maintenance auto leasing corning inc
710,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John J Jul 2014 Corporate Services,other corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daly john jul corporate services
711,Passenger Road Transportation,2011-Nov  Fortune National Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,fortune national corp miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
712,Advertising,Dorsey & Co Inc                                         /Bd Post Card/Mailer Mar2006 Direct Mail Printed Collateral SMAP,dorsey inc post card mailer direct mail printed collateral smap
713,Advertising,SMAP Media Buy - Traditional Govett Strategic Investment Trust Plc /Adr/ National Advertising Outdoor/Out of Home Apr-2017,smap media buy traditional govett strategic investment trust plc adr national advertising outdoor out home
714,Advertising,National Advertising Media Buy - Traditional Television Consolidated Tomoka Land Co Aug 2007 SMAP,national advertising media buy traditional television consolidated tomoka land aug smap
715,Labour,Hancock John Current Interest Contingent Labor/Temp Labor Mar-2002 Contingent Labor/Temp Labor Human Resources Corporate Services,hancock john current interest contingent labor temp labor contingent labor temp labor human resources corporate services
716,Passenger Road Transportation,Sep2002 Chyron Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,chyron corp miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
717,Agency Fee,Other Agency Mar 2014 SMAP Digital Equipment Corp Production Agency Fees & Commissions 3,other agency mar smap digital equipment corp production agency fees commissions
718,Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance 2017Nov Daly John J,corporate services auto passenger road transportation repair and maintenance other corporate services auto leasing and maintenance daly john
