Category,Item_Description,Item_Description_PREPROCESSED
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Nov 2004 Acme Electric Corp,general contractor store construction general requirements final site clean nov acme electric corp
Passenger Road Transportation,Feb 2007 Brother Industries Ltd/Adr/ Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,feb brother industries ltd adr company car field only company car field only travel and entertainment ground transportation
Property Services,Real Estate Store Management Lease/Rent Base Rent 2011Jul Flexsteel Industries Inc,real estate store management lease rent base rent flexsteel industries inc
Advertising,"Talent, Artists & Models for Trade Show Apr-2002 SMAP Dewey Electronics Corp Events and Promotions Trade Show Expenses",talent artists models for trade show smap dewey electronics corp events and promotions trade show expenses
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Jan-2009 Fortune National Corp,ground transportation travel and entertainment company car field only company car field only fortune national corp
Property Services,2019-Jul  Colonial Trust Iii Final Site Clean Up General Requirements Store Construction General Contractor,colonial trust iii final site clean general requirements store construction general contractor
Property Services,Store Management Lease/Rent Friendly Ice Cream Corp Real Estate Base Rent Nov2001,store management lease rent friendly ice cream corp real estate base rent
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Jul-2006 Bell Atlantic Pennsylvania Inc,store construction final site clean general contractor general requirements bell atlantic pennsylvania inc
Property Services,First Mutual Planning Corp                              /Bd Base Rent Mar2012 Lease/Rent Real Estate Store Management,first mutual planning corp base rent lease rent real estate store management
Advertising,Jul-2017 Becton Dickinson & Co Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production,becton dickinson prototype and comp production packaging design artworking typesetting smap production
Passenger Road Transportation,Daly John J Auto Passenger Road Transportation Repair and Maintenance Jun2003 Auto Leasing and Maintenance Other Corporate Services Corporate Services,daly john auto passenger road transportation repair and maintenance auto leasing and maintenance other corporate services corporate services
Human Resources,Three Five Systems Inc Mar2004 Corporate Services Human Resources Benefits Retirement and Pension Funds,three five systems inc corporate services human resources benefits retirement and pension funds
Property Services,Real Estate Lease/Rent Base Rent Capital Holding Corp Apr 2006 Store Management,real estate lease rent base rent capital holding corp apr store management
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Consolidated Edison Co Of New York Inc 2009Jun Travel and Entertainment,ground transportation company car field only company car field only consolidated edison new york inc travel and entertainment
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Feb-2015 Fortune Natural Resources Corp,ground transportation travel and entertainment company car field only company car field only fortune natural resources corp
Agency Fee,Production SMAP Agency Fees & Commissions 3 Search Agency Nov2004 O&Y Properties Corp,production smap agency fees commissions search agency properties corp
Property Services,2001-Dec  Clinger & Co Inc                                        /Bd Final Site Clean Up General Requirements Store Construction General Contractor,clinger inc final site clean general requirements store construction general contractor
Labour,"Contingent Labor/Temp Labor Human Resources Apr 2002 Barr Brothers & Co., Inc. Corporate Services Contingent Labor/Temp Labor",contingent labor temp labor human resources apr barr brothers inc corporate services contingent labor temp labor
Property Services,Base Rent 2005-Dec  Store Management Del Laboratories Inc Real Estate Lease/Rent,base rent store management del laboratories inc real estate lease rent
Property Services,"Real Estate General (Search, Appraisal, Realtor Commission) Aug 2019 Store Management Armstrong World Industries Inc Real Estate Real Estate Services",real estate general search appraisal realtor commission aug store management armstrong world industries inc real estate real estate services
Passenger Road Transportation,May2010 Comprehensive Capital Corp                              /Bd Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,comprehensive capital corp company car field only company car field only travel and entertainment ground transportation
Advertising,Newspaper SMAP Donley Options Inc                                      /Bd Sep2000 Media Buy - Traditional National Advertising,newspaper smap donley options inc media buy traditional national advertising
Agency Fee,Production Agency Fees & Commissions 3 Other Agency Charlotte Motor Speedway Inc 2010Oct SMAP,production agency fees commissions other agency charlotte motor speedway inc smap
Labour,Ames Harry G Contingent Labor/Temp Labor 2007-Sep  Contingent Labor/Temp Labor Human Resources Corporate Services,ames harry contingent labor temp labor contingent labor temp labor human resources corporate services
Property Services,Store Management Lease/Rent Allegheny Energy Inc Real Estate Base Rent Jul 2015,store management lease rent allegheny energy inc real estate base rent jul
Passenger Road Transportation,Company Car (Field Only) 2011-Mar  Travel and Entertainment Texas New Mexico Power Co Ground Transportation Company Car (Field Only),company car field only travel and entertainment texas new mexico power ground transportation company car field only
Passenger Road Transportation,2010-Feb  Comp U Check Inc Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,comp check inc company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) 2005-Jun  Brother Industries Ltd/Adr/,travel and entertainment company car field only ground transportation company car field only brother industries ltd adr
Property Services,Flightsafety International Inc Final Site Clean Up Dec-2013 General Requirements General Contractor Facility Construction,flightsafety international inc final site clean general requirements general contractor facility construction
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Daly John J 2001Jan Travel and Entertainment,ground transportation company car field only company car field only daly john travel and entertainment
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Fox Pitt Kelton Inc                                     /Bd 2006-May  Company Car (Field Only) Ground Transportation,company car field only travel and entertainment fox pitt kelton inc company car field only ground transportation
Property Services,Store Management Base Rent Real Estate Lease/Rent 2000-Jan  Fortune National Corp,store management base rent real estate lease rent fortune national corp
Passenger Road Transportation,Company Car (Field Only) Jun 2001 Travel and Entertainment Metric Capital Corp                                     /Bd Ground Transportation Company Car (Field Only),company car field only jun travel and entertainment metric capital corp ground transportation company car field only
Property Services,2010Oct Capital Resources Real Estate Partnership Ii Base Rent Lease/Rent Store Management Real Estate,capital resources real estate partnership base rent lease rent store management real estate
Advertising,Post Card/Mailer 2015Jul SMAP Charter Communications Inc Printed Collateral Direct Mail,post card mailer smap charter communications inc printed collateral direct mail
Property Services,General Contractor General Requirements Final Site Clean Up American Pad & Paper Co 2007Mar Store Construction,general contractor general requirements final site clean american pad paper store construction
Property Services,Capitol Transamerica Corp Base Rent Sep2007 Lease/Rent Real Estate Store Management,capitol transamerica corp base rent lease rent real estate store management
Property Services,Store Management Lease/Rent First Union Corp Real Estate Base Rent Jun-2000,store management lease rent first union corp real estate base rent
Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc /Ny 2014-Apr  Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services corning inc auto leasing and maintenance other corporate services
Passenger Road Transportation,Akorn Inc Company Car (Field Only) Feb2009 Company Car (Field Only) Ground Transportation Travel and Entertainment,akorn inc company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Company Car (Field Only) Ground Transportation 2014-May  Cooper Laboratories Inc Stockholders Liquidating Trust Travel and Entertainment Company Car (Field Only),company car field only ground transportation cooper laboratories inc stockholders liquidating trust travel and entertainment company car field only
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Sep 2011 Brother Industries Ltd/Adr/,travel and entertainment company car field only ground transportation company car field only sep brother industries ltd adr
Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Co Other Corporate Services Auto Leasing 2003Jan,corporate services auto leasing and maintenance butler manufacturing other corporate services auto leasing
Passenger Road Transportation,2003-Feb  Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,corning inc auto leasing auto leasing and maintenance corporate services other corporate services
Property Services,Base Rent 2009-Aug  Store Management Daniel Industries Inc Real Estate Lease/Rent,base rent store management daniel industries inc real estate lease rent
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ 2000-Jul  Company Car (Field Only) Ground Transportation,company car field only travel and entertainment brother industries ltd adr company car field only ground transportation
Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services Dec-2007 Daly John J Corporate Services Auto Passenger Road Transportation Repair and Maintenance,auto leasing and maintenance other corporate services daly john corporate services auto passenger road transportation repair and maintenance
Passenger Road Transportation,Auto Leasing Nov-2006 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services corning inc other corporate services auto leasing and maintenance
Passenger Road Transportation,Brother Industries Ltd/Adr/ Company Car (Field Only) 2017-Jul  Company Car (Field Only) Ground Transportation Travel and Entertainment,brother industries ltd adr company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Auto Leasing Oct 2009 Corporate Services Butler Manufacturing Co Other Corporate Services Auto Leasing and Maintenance,auto leasing oct corporate services butler manufacturing other corporate services auto leasing and maintenance
Advertising,Nov-2001 Electro Catheter Corp Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production,electro catheter corp prototype and comp production packaging design artworking typesetting smap production
Property Services,Bowl America Inc Jun2001 Store Management Real Estate Lease/Rent Base Rent,bowl america inc store management real estate lease rent base rent
Agency Fee,SMAP Other Agency Production Agency Fees & Commissions 3 Jul2006 Ceradyne Inc,smap other agency production agency fees commissions ceradyne inc
Labour,Fab Industries Inc Sep2003 Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,fab industries inc corporate services human resources contingent labor temp labor contingent labor temp labor
Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Ashland Inc Aug2004 Corporate Services,human resources contingent labor temp labor contingent labor temp labor ashland inc corporate services
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Chyron Corp May 2011 Travel and Entertainment,ground transportation company car field only company car field only chyron corp may travel and entertainment
Property Services,"Final Site Clean Up 2004-Mar  Store Construction Fox, Reusch & Co., Inc. General Contractor General Requirements",final site clean store construction fox reusch inc general contractor general requirements
Advertising,SMAP Artworking/Typesetting Champion Parts Inc Production Prototype and Comp Production/Packaging Design 2006Apr,smap artworking typesetting champion parts inc production prototype and comp production packaging design
Passenger Road Transportation,Company Car (Field Only) 2011-Mar  Travel and Entertainment Alco Standard Corp Ground Transportation Company Car (Field Only),company car field only travel and entertainment alco standard corp ground transportation company car field only
Property Services,General Requirements General Contractor 2016Mar Dravo Corp Store Construction Final Site Clean Up,general requirements general contractor dravo corp store construction final site clean
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Daly John J Ground Transportation Company Car (Field Only) 2003Dec,travel and entertainment company car field only daly john ground transportation company car field only
Property Services,Base Rent Feb 2000 Store Management American Bancorporation /Oh/ Real Estate Lease/Rent,base rent feb store management american bancorporation real estate lease rent
Advertising,SMAP Magazines National Advertising Media Buy - Traditional Jul2005 Di Giorgio Corp,smap magazines national advertising media buy traditional giorgio corp
Passenger Road Transportation,Auto Leasing Mar 2002 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing mar corporate services corning inc other corporate services auto leasing and maintenance
Passenger Road Transportation,2017-Sep  Brother Industries Ltd/Adr/ Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,brother industries ltd adr company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2008-Apr  Brother Industries Ltd/Adr/,ground transportation travel and entertainment company car field only company car field only brother industries ltd adr
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2012-Dec  Arabian American Development Co,general contractor store construction general requirements final site clean arabian american development
Advertising,Agf Investment Corp                                     /Bd Outdoor/Out of Home 2011Jun Media Buy - Traditional National Advertising SMAP,agf investment corp outdoor out home media buy traditional national advertising smap
Property Services,Base Rent Store Management Cotton States Life Insurance Co / May2011 Lease/Rent Real Estate,base rent store management cotton states life insurance lease rent real estate
Property Services,Base Rent Feb2006 Store Management First Washington Corporation Real Estate Lease/Rent,base rent store management first washington corporation real estate lease rent
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Company Car (Field Only) Feb2013,travel and entertainment company car field only cooper laboratories inc stockholders liquidating trust ground transportation company car field only
Property Services,Store Construction General Requirements Bromar Inc General Contractor Final Site Clean Up Feb2001,store construction general requirements bromar inc general contractor final site clean
Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc /Ny May 2007 Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services corning inc may auto leasing and maintenance other corporate services
Passenger Road Transportation,Akzo Nobel Nv Company Car (Field Only) 2015-Mar  Company Car (Field Only) Ground Transportation Travel and Entertainment,akzo nobel company car field only company car field only ground transportation travel and entertainment
Property Services,Store Management Base Rent Real Estate Lease/Rent Dec2002 Rexam Plc   /Adr/,store management base rent real estate lease rent rexam plc adr
Passenger Road Transportation,Daly John J Company Car (Field Only) 2008Sep Company Car (Field Only) Ground Transportation Travel and Entertainment,daly john company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Company Car (Field Only) Apr2017,travel and entertainment company car field only cooper laboratories inc stockholders liquidating trust ground transportation company car field only
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Mar-2014 Engex Inc,general contractor store construction general requirements final site clean engex inc
Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Barrie Milton R Co Inc Jun2002 Corporate Services,human resources contingent labor temp labor contingent labor temp labor barrie milton inc corporate services
Human Resources,Human Resources Benefits Life and Health and Accident Insurance Detrex Corporation Aug2019 Corporate Services,human resources benefits life and health and accident insurance detrex corporation corporate services
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Apr2018 Butler Manufacturing Co,other corporate services corporate services auto leasing and maintenance auto leasing butler manufacturing
Property Services,Real Estate Store Management Lease/Rent Base Rent 2019-Dec  Smith Brown & Groover Inc,real estate store management lease rent base rent smith brown groover inc
Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2002-Mar  Butler Manufacturing Co,corporate services auto leasing other corporate services auto leasing and maintenance butler manufacturing
Property Services,Store Management Base Rent Real Estate Lease/Rent Dec-2009 Florida Rock Industries Inc,store management base rent real estate lease rent florida rock industries inc
Agency Fee,Production SMAP Agency Fees & Commissions 3 Other Agency 2005-Sep  Becker Walt & Associates Inc                            /Bd,production smap agency fees commissions other agency becker walt associates inc
Property Services,Final Site Clean Up Nov2011 Store Construction Colonial Trust Iii General Contractor General Requirements,final site clean store construction colonial trust iii general contractor general requirements
Passenger Road Transportation,Corning Inc /Ny Auto Leasing Aug 2007 Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing aug auto leasing and maintenance other corporate services corporate services
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Fort Howard Corp Mar2011 Travel and Entertainment,ground transportation company car field only company car field only fort howard corp travel and entertainment
Property Services,Final Site Clean Up Store Construction Arabian American Development Co Mar 2010 General Requirements General Contractor,final site clean store construction arabian american development mar general requirements general contractor
Agency Fee,Boeing Co Other Agency 2001-Aug  Agency Fees & Commissions 3 Production SMAP,boeing other agency agency fees commissions production smap
Property Services,Base Rent Store Management Bancwest Corp/Hi Nov2016 Lease/Rent Real Estate,base rent store management bancwest corp lease rent real estate
Passenger Road Transportation,Brother Industries Ltd/Adr/ Company Car (Field Only) 2017Mar Company Car (Field Only) Ground Transportation Travel and Entertainment,brother industries ltd adr company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services Jan2001 Daly John J Corporate Services Auto Passenger Road Transportation Repair and Maintenance,auto leasing and maintenance other corporate services daly john corporate services auto passenger road transportation repair and maintenance
Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing Nov2006,corporate services auto leasing and maintenance corning inc other corporate services auto leasing
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Camelot Corp 2007Mar Company Car (Field Only) Ground Transportation,company car field only travel and entertainment camelot corp company car field only ground transportation
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2010Oct Butler Manufacturing Co,other corporate services corporate services auto leasing and maintenance auto leasing butler manufacturing
Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Co Other Corporate Services Auto Leasing May 2016,corporate services auto leasing and maintenance butler manufacturing other corporate services auto leasing may
Property Services,2014May Amcast Industrial Corp Base Rent Lease/Rent Store Management Real Estate,amcast industrial corp base rent lease rent store management real estate
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Akorn Inc 2018Nov Travel and Entertainment,ground transportation company car field only company car field only akorn inc travel and entertainment
Property Services,Real Estate Lease/Rent Base Rent Bancshares Inc 2017Dec Facility Management,real estate lease rent base rent bancshares inc facility management
Property Services,Facility Management Base Rent Real Estate Lease/Rent Feb2009 Alabama Telephone Co Inc,facility management base rent real estate lease rent alabama telephone inc
Property Services,Base Rent 2014Mar Store Management Cazenove Inc                                            /Bd Real Estate Lease/Rent,base rent store management cazenove inc real estate lease rent
Agency Fee,Agency Fees & Commissions 3 Production 2004Sep Astrex Inc SMAP Other Agency,agency fees commissions production astrex inc smap other agency
Advertising,SMAP Artworking/Typesetting Champion Parts Inc Production Prototype and Comp Production/Packaging Design Nov-2011,smap artworking typesetting champion parts inc production prototype and comp production packaging design
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Allis Chalmers Corp Jun 2011 Travel and Entertainment,ground transportation company car field only company car field only allis chalmers corp jun travel and entertainment
Property Services,Franklin Resources Inc Base Rent Mar-2003 Lease/Rent Real Estate Store Management,franklin resources inc base rent lease rent real estate store management
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Akorn Inc Ground Transportation Company Car (Field Only) 2006Dec,travel and entertainment company car field only akorn inc ground transportation company car field only
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Dec-2007 Texas New Mexico Power Co,travel and entertainment company car field only ground transportation company car field only texas new mexico power
Advertising,Digital Display SMAP Reunion Resources Co 2004Jan Digital/Social Production,digital display smap reunion resources digital social production
Labour,Exotico Inc Contingent Labor/Temp Labor Nov 2017 Contingent Labor/Temp Labor Human Resources Corporate Services,exotico inc contingent labor temp labor nov contingent labor temp labor human resources corporate services
Property Services,Final Site Clean Up Store Construction Sunbeam Corp/Fl/ Mar 2005 General Requirements General Contractor,final site clean store construction sunbeam corp mar general requirements general contractor
Advertising,"Jul 2019 Univest Investments Inc                                 /Bd Talent, Artists & Models for Trade Show Trade Show Expenses SMAP Events and Promotions",jul univest investments inc talent artists models for trade show trade show expenses smap events and promotions
Property Services,Store Management Lease/Rent Abbott Laboratories Real Estate Base Rent Aug2000,store management lease rent abbott laboratories real estate base rent
Property Services,2018-Jun  Asia Supernet Corp Final Site Clean Up General Requirements Store Construction General Contractor,asia supernet corp final site clean general requirements store construction general contractor
Property Services,Final Site Clean Up Jun 2009 Store Construction Brush Wellman Inc General Contractor General Requirements,final site clean jun store construction brush wellman inc general contractor general requirements
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ Feb 2008 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment brother industries ltd adr feb company car field only ground transportation
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Fortune National Corp Aug-2008 Travel and Entertainment,ground transportation company car field only company car field only fortune national corp travel and entertainment
Property Services,Base Rent 2004-Jul  Store Management Detwiler Fenton & Co. Real Estate Lease/Rent,base rent store management detwiler fenton real estate lease rent
Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2018Mar Corning Inc /Ny,corporate services auto leasing other corporate services auto leasing and maintenance corning inc
Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Ashland Inc May 2004 Corporate Services,human resources contingent labor temp labor contingent labor temp labor ashland inc may corporate services
Agency Fee,Events and Promotions Agency Fees & Commissions Public Relations Agency Community Psychiatric Centers /Nv/ 2010-Dec  SMAP,events and promotions agency fees commissions public relations agency community psychiatric centers smap
Property Services,Sep-2016 Capital Southwest Corp Final Site Clean Up General Requirements Store Construction General Contractor,capital southwest corp final site clean general requirements store construction general contractor
Passenger Road Transportation,Corning Inc /Ny Auto Leasing Mar2009 Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Property Services,Store Construction General Requirements Chubb Corp General Contractor Final Site Clean Up 2018Oct,store construction general requirements chubb corp general contractor final site clean
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements 2018-Aug  Erly Industries Inc,store construction final site clean general contractor general requirements erly industries inc
Property Services,General Contractor General Requirements Final Site Clean Up Ealing Corp Feb 2003 Store Construction,general contractor general requirements final site clean ealing corp feb store construction
Property Services,Brown Tom Inc /De 2012Dec Store Management Real Estate Lease/Rent Base Rent,brown tom inc store management real estate lease rent base rent
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Dec-2015 Amsouth Bancorporation,ground transportation travel and entertainment company car field only company car field only amsouth bancorporation
Property Services,Final Site Clean Up Store Construction Advanced Micro Devices Inc Oct2010 General Requirements General Contractor,final site clean store construction advanced micro devices inc general requirements general contractor
Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Sep 2003 Circuit Science Corp,corporate services contingent labor temp labor human resources contingent labor temp labor sep circuit science corp
Passenger Road Transportation,Company Car (Field Only) Jul2003 Travel and Entertainment Alza Corp Ground Transportation Company Car (Field Only),company car field only travel and entertainment alza corp ground transportation company car field only
Advertising,Post Card/Mailer SMAP Federal Paper Board Co Inc Mar 2001 Direct Mail Printed Collateral,post card mailer smap federal paper board inc mar direct mail printed collateral
Advertising,Electro Catheter Corp Prototype and Comp Production/Packaging Design May-2004 Artworking/Typesetting Production SMAP,electro catheter corp prototype and comp production packaging design artworking typesetting production smap
Passenger Road Transportation,Butler National Corp Feb 2001 Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),butler national corp feb travel and entertainment ground transportation company car field only company car field only
Property Services,Colonial Trust Iii Final Site Clean Up May 2013 General Requirements General Contractor Store Construction,colonial trust iii final site clean may general requirements general contractor store construction
Property Services,Base Rent 2014-Jul  Store Management Fair Grounds Corp Real Estate Lease/Rent,base rent store management fair grounds corp real estate lease rent
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Company Car (Field Only) 2016Aug,travel and entertainment company car field only brother industries ltd adr ground transportation company car field only
Logistics,Parcel/Postage/Courier 2017-Jan  Supply Chain Durr Fillauer Medical Inc Logistics Transportation Services,parcel postage courier supply chain durr fillauer medical inc logistics transportation services
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Akzo Nobel Nv 2014Feb Company Car (Field Only) Ground Transportation,company car field only travel and entertainment akzo nobel company car field only ground transportation
Passenger Road Transportation,Cooper Laboratories Inc Stockholders Liquidating Trust Sep-2009 Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),cooper laboratories inc stockholders liquidating trust travel and entertainment ground transportation company car field only company car field only
Advertising,SMAP Media Buy - Traditional Cgg Holding (U.S.) Inc. National Advertising Outdoor/Out of Home Oct2018,smap media buy traditional cgg holding inc national advertising outdoor out home
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Jan-2007 Fortune National Corp,ground transportation travel and entertainment company car field only company car field only fortune national corp
Logistics,Mar-2001 Etz Lavud Ltd Parcel/Postage/Courier Transportation Services Supply Chain Logistics,etz lavud ltd parcel postage courier transportation services supply chain logistics
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ Aug2017 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment brother industries ltd adr company car field only ground transportation
Passenger Road Transportation,Company Car (Field Only) Ground Transportation Nov2008 Akzo Nobel Nv Travel and Entertainment Company Car (Field Only),company car field only ground transportation akzo nobel travel and entertainment company car field only
Advertising,Double Eagle Petroleum & Mining Co Prototype and Comp Production/Packaging Design 2019Apr Artworking/Typesetting Production SMAP,double eagle petroleum mining prototype and comp production packaging design artworking typesetting production smap
Charity & Trusts,Charity Organizations 2011May Non-Procurable Detroit Edison Co Charity Organizations Charity Organizations,charity organizations non procurable detroit edison charity organizations charity organizations
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2008-Oct  Capital Southwest Corp,general contractor store construction general requirements final site clean capital southwest corp
Advertising,Outdoor/Out of Home SMAP Di Giorgio Corp May 2001 Media Buy - Traditional National Advertising,outdoor out home smap giorgio corp may media buy traditional national advertising
Advertising,Digital Equipment Corp Jun-2018 SMAP National Advertising Media Buy - Traditional Magazines,digital equipment corp smap national advertising media buy traditional magazines
Property Services,Real Estate Lease/Rent Base Rent Coughlin & Company Inc. 2014Mar Store Management,real estate lease rent base rent coughlin company inc store management
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Apr2005 Corning Inc /Ny,other corporate services corporate services auto leasing and maintenance auto leasing corning inc
Property Services,Final Site Clean Up Jun2012 Store Construction Basil Investment Corp                                   /Bd General Contractor General Requirements,final site clean store construction basil investment corp general contractor general requirements
Property Services,Store Management Lease/Rent Daiwa Capital Markets America Inc. Real Estate Base Rent Dec2006,store management lease rent daiwa capital markets america inc real estate base rent
Advertising,SMAP Digital Display Production Digital/Social Jun2006 Reunion Resources Co,smap digital display production digital social reunion resources
Passenger Road Transportation,Mar-2016 Airtex Products Inc Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,airtex products inc company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ Oct-2011 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment brother industries ltd adr company car field only ground transportation
Logistics,Supply Chain Freight Forwarders Services Other Logistics Transportation Services 2000-Mar  Alabama Power Co,supply chain freight forwarders services other logistics transportation services alabama power
Property Services,Real Estate Store Management Lease/Rent Base Rent Feb2005 Elizabethtown Gas Co,real estate store management lease rent base rent elizabethtown gas
Passenger Road Transportation,2007-Mar  Fort Howard Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,fort howard corp company car field only company car field only travel and entertainment ground transportation
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Mar 2003 Engex Inc,general contractor store construction general requirements final site clean mar engex inc
Property Services,Base Rent Store Management Acmat Corp Nov-2009 Lease/Rent Real Estate,base rent store management acmat corp lease rent real estate
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Aug2006 Corning Inc /Ny,other corporate services corporate services auto leasing and maintenance auto leasing corning inc
Passenger Road Transportation,Butler Manufacturing Co Aug-2007 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,butler manufacturing corporate services other corporate services auto leasing and maintenance auto leasing
Human Resources,Corporate Services Workmen's Insurance Angelica Corp /New/ Commercial Insurance Workmen's Insurance Jan 2002,corporate services workmen insurance angelica corp new commercial insurance workmen insurance jan
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Aug-2013 Fairmount Chemical Co Inc,general contractor store construction general requirements final site clean fairmount chemical inc
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Feb 2009 Barnes Group Inc,travel and entertainment company car field only ground transportation company car field only feb barnes group inc
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) May 2014 Brother Industries Ltd/Adr/,travel and entertainment company car field only ground transportation company car field only may brother industries ltd adr
Passenger Road Transportation,Sep2004 Brother Industries Ltd/Adr/ Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,brother industries ltd adr company car field only company car field only travel and entertainment ground transportation
