Category,Item_Description,UNSPSC_Segment_Code
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Aug 2019 Cbs Broadcasting Inc,80000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2012-Dec  Butler Manufacturing Co,78000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Ames Harry G Human Resources Contingent Labor/Temp Labor Feb-2009,80000000
Editorial and Design and Graphic and Fine Art Services,SMAP Direct Mail Charter Communications Inc Printed Collateral Post Card/Mailer Jul-2001,82000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing and Maintenance Daly John J Other Corporate Services Auto Passenger Road Transportation Repair and Maintenance 2016-May ,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Fortune National Corp Ground Transportation Miscellaneous Company Car (Field Only) Oct2016,78000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John J 2010May Corporate Services,78000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Feb 2010 American Pad & Paper Co,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ Dec 2011 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Transportation and Storage and Mail Services,Supply Chain Freight Forwarders Services Other Logistics Transportation Services Feb 2008 Alabama Power Co,78000000
Management and Business Professionals and Administrative Services,Human Resources Corporate Services Contingent Labor/Temp Labor Contingent Labor/Temp Labor Oct-2000 Detection Systems Inc,80000000
Management and Business Professionals and Administrative Services,2014-Aug  Autotronic Systems Inc Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Apr 2014 Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,"Talent, Artists & Models for Trade Show 2011-Jul  SMAP Clarion Capital Corp Events and Promotions Trade Show Expenses",80000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Florafax International Inc Real Estate Base Rent 2016-Jun ,80000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements Dravo Corp General Contractor Final Site Clean Up Dec2016,72000000
Management and Business Professionals and Administrative Services,"First Options Of Chicago, Inc. Base Rent 2014-Oct  Lease/Rent Real Estate Store Management",80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Aug2002 Ddl Electronics Inc,80000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements Oct-2015 Dollar General Corp,72000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements Dollar General Corp General Contractor Final Site Clean Up Sep-2000,72000000
Building and Facility Construction and Maintenance Services,Westford Group Inc Final Site Clean Up 2007Dec General Requirements General Contractor Store Construction,72000000
Management and Business Professionals and Administrative Services,Apr-2002 Ashland Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,80000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Advance Ross Corp Oct-2019 Store Management,80000000
Transportation and Storage and Mail Services,Metric Capital Corp                                     /Bd Miscellaneous Company Car (Field Only) Nov-2001 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Principal Life Insurance Co Separate Account B Ground Transportation Miscellaneous Company Car (Field Only) 2016-Oct ,78000000
Transportation and Storage and Mail Services,Metric Capital Corp                                     /Bd 2018-Aug  Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Jul 2008 Fortune National Corp,78000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Corporate Services Valero Energy Corp Nov-2015 Contingent Labor/Temp Labor Human Resources,80000000
Management and Business Professionals and Administrative Services,Ddl Electronics Inc 2015-Jun  Store Management Real Estate Lease/Rent Base Rent,80000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2018Apr Corning Inc /Ny,78000000
Transportation and Storage and Mail Services,Corning Inc /Ny 2009May Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,78000000
Editorial and Design and Graphic and Fine Art Services,Prototype and Comp Production/Packaging Design SMAP Legg Mason Wood Walker Inc                              /Bd 2005-Jan  Artworking/Typesetting Production,82000000
Building and Facility Construction and Maintenance Services,2018Nov Bbn Corp Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Management and Business Professionals and Administrative Services,Flanigans Enterprises Inc Jan 2010 Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,80000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing Co Apr2012 Corporate Services,78000000
Editorial and Design and Graphic and Fine Art Services,Becton Dickinson & Co Prototype and Comp Production/Packaging Design 2019Mar Artworking/Typesetting Production SMAP,82000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Feb 2006 Clevetrust Realty Investors,72000000
Editorial and Design and Graphic and Fine Art Services,"Prototype and Comp Production/Packaging Design Aug2006 SMAP Cv Brokerage, Inc Production Artworking/Typesetting",82000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fortune National Corp Mar 2018 Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Butler Manufacturing Co Auto Leasing 2018-May  Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Management and Business Professionals and Administrative Services,"Cabrera Capital Markets, Inc. Base Rent Nov2000 Lease/Rent Real Estate Facility Management",80000000
Building and Facility Construction and Maintenance Services,Store Fixtures 2011-Feb  Store Construction Impala Platinum Holdings Ltd/Adr/ Fixtures Store Fixtures,72000000
Editorial and Design and Graphic and Fine Art Services,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Champion Parts Inc 2001Dec SMAP,82000000
Editorial and Design and Graphic and Fine Art Services,Other Agency SMAP Bnsf Railway Co Apr-2005 Agency Fees & Commissions 3 Production,82000000
Transportation and Storage and Mail Services,Butler Manufacturing Co Auto Leasing May2002 Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Sep2014 Bell Atlantic Maryland Inc,80000000
Editorial and Design and Graphic and Fine Art Services,Digital Paid Media Media Buy - Mobile or E-Mail Direct E-Messaging Media Buy Aristar Inc Jun 2007 SMAP,82000000
Management and Business Professionals and Administrative Services,2000Jun Ametech Inc Base Rent Lease/Rent Store Management Real Estate,80000000
Management and Business Professionals and Administrative Services,Ford Motor Co Jan 2000 Store Management Real Estate Lease/Rent Base Rent,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) May 2016 Travel and Entertainment Akzo Nobel Nv Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2000Mar Corning Inc /Ny,78000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fort Howard Corp 2004-Jun  Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2010-Sep  Diamant Investment Corp                                 /Bd,80000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Emc Energies Inc 2006Sep Lease/Rent Real Estate,80000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny 2009Jan Corporate Services,78000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements 2006Nov Erly Industries Inc,72000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing Dec-2006,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2017Jun Alco Standard Corp,78000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Clary Corp Human Resources Contingent Labor/Temp Labor Apr2018,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Alco Standard Corp 2006Dec Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2008May Metric Capital Corp                                     /Bd,78000000
Editorial and Design and Graphic and Fine Art Services,Magazines Jan 2015 SMAP Empire District Electric Co National Advertising Media Buy - Traditional,82000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation 2005-Jun  Daly John J Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,"Trade Show Expenses Events and Promotions Sep 2002 L-3 Communications Titan Corp SMAP Talent, Artists & Models for Trade Show",80000000
Management and Business Professionals and Administrative Services,"Nov-2005 American Nuclear Corp Talent, Artists & Models for Trade Show Trade Show Expenses SMAP Events and Promotions",80000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ May-2007 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Auto Leasing Corporate Services Butler Manufacturing Co 2003-Nov  Auto Leasing and Maintenance Other Corporate Services,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2001-Jul  Fort Howard Corp,78000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2018Sep Ddl Electronics Inc,80000000
Transportation and Storage and Mail Services,Auto Leasing Corporate Services Corning Inc /Ny Nov2011 Auto Leasing and Maintenance Other Corporate Services,78000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements 2017Dec Cascade Natural Gas Corp,72000000
Editorial and Design and Graphic and Fine Art Services,Aristar Inc Sep-2018 SMAP Digital Paid Media Media Buy - Mobile or E-Mail Direct E-Messaging Media Buy,82000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2018Apr Automation International Inc,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Texas New Mexico Power Co Dec 2010 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Editorial and Design and Graphic and Fine Art Services,Donnkenny Inc Catalogue Mar2008 Media Buy - Traditional National Advertising SMAP,82000000
Editorial and Design and Graphic and Fine Art Services,Printed Collateral SMAP Miscellaneous Printed Materials Miscellaneous Printed Materials Oct2010 Brundage Story & Rose Llc,82000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2019Jul Corning Inc /Ny,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2008-Aug  Alco Standard Corp,78000000
Editorial and Design and Graphic and Fine Art Services,E-Messaging Media Buy SMAP Bormans Inc /De/ 2000Mar Media Buy - Mobile or E-Mail Direct Digital Paid Media,82000000
Transportation and Storage and Mail Services,Corning Inc /Ny Auto Leasing Jan 2005 Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Transportation and Storage and Mail Services,Auto Leasing Nov 2011 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,78000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Jul 2017 Analog Devices Inc,80000000
Management and Business Professionals and Administrative Services,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Bush J & Co Inc /Ct/ 2016May Corporate Services,80000000
Editorial and Design and Graphic and Fine Art Services,National Advertising Media Buy - Traditional Magazines Di Giorgio Corp 2018Feb SMAP,82000000
Building and Facility Construction and Maintenance Services,2006Oct Flightsafety International Inc Final Site Clean Up General Requirements Facility Construction General Contractor,72000000
Editorial and Design and Graphic and Fine Art Services,National Advertising Media Buy - Traditional Outdoor/Out of Home Cgg Holding (U.S.) Inc. 2008Aug SMAP,82000000
Building and Facility Construction and Maintenance Services,Fixtures Store Fixtures Store Fixtures Central Illinois Light Co 2019Sep Store Construction,72000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up 2007-Oct  Store Construction American Telephone & Telegraph Co General Contractor General Requirements,72000000
Editorial and Design and Graphic and Fine Art Services,Jan 2011 Dr Pepper Co Catalogue Media Buy - Traditional SMAP National Advertising,82000000
Transportation and Storage and Mail Services,Corning Inc /Ny Auto Leasing Nov 2005 Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Management and Business Professionals and Administrative Services,Human Resources Corporate Services Contingent Labor/Temp Labor Contingent Labor/Temp Labor Jun2017 Ashton Harris J,80000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Human Resources Mar2011 Aztec Equities Corp Corporate Services Contingent Labor/Temp Labor,80000000
Building and Facility Construction and Maintenance Services,Anderson Cook Co Inc Final Site Clean Up Jan2009 General Requirements General Contractor Store Construction,72000000
Transportation and Storage and Mail Services,Fortune National Corp 2009Jun Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,2005-Jan  Alabama Power Co Freight Forwarders Services Other Transportation Services Supply Chain Logistics,78000000
Building and Facility Construction and Maintenance Services,"Final Site Clean Up Store Construction Advanzeon Solutions, Inc. 2007-Dec  General Requirements General Contractor",72000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Store Construction American Pad & Paper Co Jul2009 General Requirements General Contractor,72000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Mar2017 Fox Pitt Kelton Inc                                     /Bd,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) Feb 2003,78000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements Oct-2000 Bromar Inc,72000000
Management and Business Professionals and Administrative Services,American Cattle Co 2016Aug Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,80000000
Transportation and Storage and Mail Services,Fort Howard Corp Miscellaneous Company Car (Field Only) Sep 2001 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Editorial and Design and Graphic and Fine Art Services,Digital Paid Media Media Buy - Mobile or E-Mail Direct E-Messaging Media Buy Aristar Inc 2012Feb SMAP,82000000
Transportation and Storage and Mail Services,Jul 2007 Akorn Inc Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Jan2006 Travel and Entertainment Fort Howard Corp Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Nov 2007 Fortune National Corp,78000000
Management and Business Professionals and Administrative Services,Ashton Harris J Contingent Labor/Temp Labor Mar-2016 Contingent Labor/Temp Labor Human Resources Corporate Services,80000000
Management and Business Professionals and Administrative Services,"Store Management Real Estate Services Armstrong World Industries Inc Real Estate Real Estate General (Search, Appraisal, Realtor Commission) 2003-Jan ",80000000
Management and Business Professionals and Administrative Services,Feb 2001 Bancwest Corp/Hi Base Rent Lease/Rent Store Management Real Estate,80000000
Building and Facility Construction and Maintenance Services,Central & South West Corp Final Site Clean Up May 2011 General Requirements General Contractor Store Construction,72000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Apr 2004 American General Corp /Tx/,80000000
Transportation and Storage and Mail Services,Akzo Nobel Nv Miscellaneous Company Car (Field Only) Oct2009 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) Dec2016,78000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing Co Nov2019 Corporate Services,78000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements 2000-Jan  Chubb Corp,72000000
Editorial and Design and Graphic and Fine Art Services,Post Card/Mailer Jun-2017 SMAP Adams Resources & Energy Inc Printed Collateral Direct Mail,82000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent William Blair & Company L.L.C. 2007-Jul  Store Management,80000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Metric Capital Corp                                     /Bd Feb2005 Travel and Entertainment,78000000
Building and Facility Construction and Maintenance Services,Ealing Corp Final Site Clean Up Jan2011 General Requirements General Contractor Store Construction,72000000
Building and Facility Construction and Maintenance Services,Store Construction Store Fixtures Fixtures Store Fixtures Apr2014 Alaska Power & Telephone Co,72000000
Transportation and Storage and Mail Services,Oct 2004 Chyron Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Dec2002 Brother Industries Ltd/Adr/,78000000
Editorial and Design and Graphic and Fine Art Services,Media Buy - Mobile or E-Mail Direct Digital Paid Media 2018Jan Borns & Co SMAP E-Messaging Media Buy,82000000
Editorial and Design and Graphic and Fine Art Services,Entwistle Co Prototype and Comp Production/Packaging Design Apr2000 Artworking/Typesetting Production SMAP,82000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation Feb 2018 Federal Life Variable Annuity Account A Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Building and Facility Construction and Maintenance Services,Colonial Trust Iii 2008Sep Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Editorial and Design and Graphic and Fine Art Services,SMAP Artworking/Typesetting Dole Food Co Inc Production Prototype and Comp Production/Packaging Design Jan2003,82000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Fox Pitt Kelton Inc                                     /Bd 2014Aug Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,Store Fixtures Store Construction Agl Separate Account Va-2 2019-May  Store Fixtures Fixtures,72000000
Editorial and Design and Graphic and Fine Art Services,Media Buy - Mobile or E-Mail Direct Digital Paid Media Sep2012 Booz Allen & Hamilton Inc SMAP E-Messaging Media Buy,82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Apr-2018 Daly John J,78000000
Editorial and Design and Graphic and Fine Art Services,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Cannarsa David Investments                          /Bd Mar 2016 SMAP,82000000
Organizations and Clubs,Non-Procurable Charity Organizations Charity Organizations Charity Organizations 2008Jun Detrex Corporation,94000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Sep 2002 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jul-2015 Fort Howard Corp,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Fortune National Corp Aug-2010 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,Oakhill Sportswear Corp /Ny/ Final Site Clean Up May2006 General Requirements General Contractor Store Construction,72000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ Mar-2018 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John J 2010Jun Auto Leasing and Maintenance Other Corporate Services,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Fort Howard Corp 2016-Feb  Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent American Filtrona Corp Sep-2011 Store Management,80000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) 2008-Oct  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,2009-Jul  Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,78000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Akzo Nobel Nv Jun 2006 Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Akzo Nobel Nv 2010Sep Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Flowers Industries Inc 2016-May  Lease/Rent Real Estate,80000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2018-Aug  Air Products & Chemicals Inc /De/,78000000
Building and Facility Construction and Maintenance Services,Flightsafety International Inc 2014Sep Facility Construction General Contractor General Requirements Final Site Clean Up,72000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only) 2018-Jan ,78000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Akorn Inc 2010May Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) 2011Aug Travel and Entertainment Fort Howard Corp Ground Transportation Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,Baird Patrick & Co Inc 2011Jan Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,80000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Alco Stores Inc Human Resources Contingent Labor/Temp Labor 2005-Jan ,80000000
Building and Facility Construction and Maintenance Services,Aug2014 Erly Industries Inc Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Management and Business Professionals and Administrative Services,Base Rent 2016-Dec  Store Management American Heritage Life Investment Corp Real Estate Lease/Rent,80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2005Dec Bancwest Corp/Hi,80000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Computer Task Group Inc Human Resources Contingent Labor/Temp Labor Sep 2007,80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent May2002 Falconbridge Ltd,80000000
Management and Business Professionals and Administrative Services,Furon Co Base Rent Sep2006 Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Bancwest Corp/Hi Real Estate Base Rent Nov-2003,80000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Arlen Corp Real Estate Base Rent 2004-Mar ,80000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2008-Oct  Chyron Corp,78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Apr-2003 Acterna Corp,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jul2002 Akorn Inc,78000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Mar-2018 Colonial Trust Iii,72000000
Editorial and Design and Graphic and Fine Art Services,SMAP Miscellaneous Printed Materials Printed Collateral Miscellaneous Printed Materials 2000Aug Brundage Story & Rose Llc,82000000
Transportation and Storage and Mail Services,Daly John J Feb-2007 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Editorial and Design and Graphic and Fine Art Services,SMAP Prototype and Comp Production/Packaging Design Production Artworking/Typesetting Sep-2002 Aquila Distributors Inc                                 /Bd,82000000
Financial and Insurance Services,Commercial Insurance Workmen's Insurance Workmen's Insurance Family Dollar Stores Inc Jul 2009 Corporate Services,84000000
Editorial and Design and Graphic and Fine Art Services,Media Buy - Traditional National Advertising Jan-2002 De Rose Industries Inc SMAP Television,82000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Human Resources 2018Apr Basf Akteingesellschaft /Adr/ Corporate Services Contingent Labor/Temp Labor,80000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Sep-2006 Fort Howard Corp,78000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Charter Medical Corp Real Estate Base Rent 2013-Nov ,80000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up American Pad & Paper Co Feb-2005 Store Construction,72000000
Management and Business Professionals and Administrative Services,Feb2011 Acmat Corp Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) 2011-Oct ,78000000
Transportation and Storage and Mail Services,Auto Passenger Road Transportation Repair and Maintenance Sep-2002 Corporate Services Daly John J Other Corporate Services Auto Leasing and Maintenance,78000000
Management and Business Professionals and Administrative Services,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Chenaur Corp 2011-Dec  Corporate Services,80000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing Co Oct2002 Corporate Services,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2006Sep Daly John J,78000000
Management and Business Professionals and Administrative Services,Alpha Industries Inc 2018Aug Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,80000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Apr-2005 Ark Bakers Inc,80000000
Building and Facility Construction and Maintenance Services,Mar 2015 Colonial Trust Iii Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Editorial and Design and Graphic and Fine Art Services,SMAP Prototype and Comp Production/Packaging Design Production Artworking/Typesetting 2019-Apr  Champion Parts Inc,82000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Farrel Corp Sep 2017 Store Management,80000000
Management and Business Professionals and Administrative Services,Lease/Rent Real Estate Dec2002 American Fidelity Corp Store Management Base Rent,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Dec-2008 Travel and Entertainment Akorn Inc Ground Transportation Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent May 2013 Berkley W R Corp,80000000
